CensusTract20,State,County20,County24,Urban,POP2020,OHU2020,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,TractVeteran,TractTribalArea,Missing_Value_Count
1001020100,Alabama,Autauga County,Autauga County,1,1775,646,0.0,0,0.0,0,17.4,76979.0,1316.0,405,284,1389,213,8,3,5,157,76,35.0,100.0,68.0,0.0,0
1001020200,Alabama,Autauga County,Autauga County,1,2055,723,0.0,142,6.91,1,9.5,62331.0,1148.0,471,316,842,1104,12,4,2,91,43,28.0,143.0,54.0,0.0,0
1001020300,Alabama,Autauga County,Autauga County,1,3216,1291,0.0,19,0.59,0,7.1,84191.0,2350.0,731,598,2244,714,14,6,12,226,100,84.0,111.0,211.0,0.0,0
1001020400,Alabama,Autauga County,Autauga County,1,4246,1707,0.0,0,0.0,0,15.3,81136.0,2580.0,902,961,3578,327,32,1,17,291,158,114.0,78.0,560.0,0.0,0
1001020501,Alabama,Autauga County,Autauga County,1,4322,1778,0.0,12,0.28,0,3.5,108233.0,4114.0,953,770,3241,632,93,2,29,325,156,9.0,53.0,500.0,0.0,0
1001020502,Alabama,Autauga County,Autauga County,1,3284,1329,0.0,0,0.0,0,13.0,93398.0,2795.0,902,292,1894,907,207,3,15,258,165,99.0,105.0,271.0,0.0,0
1001020503,Alabama,Autauga County,Autauga County,1,3616,1466,0.0,124,3.43,0,14.9,127250.0,2414.0,847,581,2522,710,120,4,5,255,139,35.0,18.0,333.0,0.0,0
1001020600,Alabama,Autauga County,Autauga County,1,3729,1406,0.0,0,0.0,0,10.4,105994.0,2488.0,961,570,2524,783,16,1,5,400,305,11.0,148.0,352.0,0.0,0
1001020700,Alabama,Autauga County,Autauga County,1,3409,1399,0.0,31,0.91,1,21.1,54952.0,1448.0,829,475,2341,777,23,6,4,258,123,21.0,262.0,218.0,0.0,0
1001020801,Alabama,Autauga County,Autauga County,0,3143,1097,0.0,0,0.0,0,7.4,104188.0,2696.0,766,516,2658,295,11,1,17,161,58,0.0,163.0,232.0,0.0,0
1001020803,Alabama,Autauga County,Autauga County,0,4635,1675,0.0,25,0.54,1,14.7,64816.0,2505.0,1160,702,3528,753,14,0,28,312,150,209.0,330.0,302.0,0.0,0
1001020804,Alabama,Autauga County,Autauga County,0,6064,2014,0.0,8,0.13,0,4.6,132958.0,5172.0,1773,621,4072,1152,297,1,25,517,261,0.0,24.0,708.0,0.0,0
1001020805,Alabama,Autauga County,Autauga County,0,3122,1133,0.0,59,1.89,0,2.7,120682.0,2729.0,781,521,2648,260,7,0,8,199,84,125.0,25.0,282.0,0.0,0
1001020901,Alabama,Autauga County,Autauga County,0,3268,1195,0.0,4,0.12,0,10.3,89245.0,2290.0,869,423,2864,179,9,0,9,207,81,47.0,111.0,279.0,0.0,0
1001020902,Alabama,Autauga County,Autauga County,0,3091,1174,0.0,0,0.0,0,7.7,89243.0,2651.0,722,507,2368,541,9,0,16,157,99,49.0,121.0,238.0,0.0,0
1001021000,Alabama,Autauga County,Autauga County,0,2645,1064,0.0,0,0.0,0,19.7,71667.0,1912.0,598,454,2004,507,0,1,6,127,38,22.0,78.0,134.0,0.0,0
1001021100,Alabama,Autauga County,Autauga County,0,3185,1315,0.0,63,1.98,1,20.1,55714.0,1764.0,612,652,1443,1591,9,2,14,126,81,59.0,246.0,100.0,0.0,0
1003010100,Alabama,Baldwin County,Baldwin County,0,3745,1529,0.0,29,0.77,1,18.0,72697.0,2391.0,754,859,2964,527,3,4,99,148,27,41.0,320.0,174.0,0.0,0
1003010200,Alabama,Baldwin County,Baldwin County,0,3000,1180,0.0,1,0.03,0,8.2,88198.0,2386.0,693,529,2520,224,7,0,61,188,57,47.0,134.0,185.0,0.0,0
1003010300,Alabama,Baldwin County,Baldwin County,0,8380,3024,0.0,449,5.36,0,7.7,104539.0,5578.0,1786,1598,6335,1360,40,0,74,571,191,61.0,300.0,679.0,0.0,0
1003010400,Alabama,Baldwin County,Baldwin County,0,5722,2180,0.0,0,0.0,0,9.6,82618.0,3188.0,1303,1065,4890,361,21,0,61,389,122,30.0,235.0,422.0,0.0,0
1003010500,Alabama,Baldwin County,Baldwin County,1,4850,1877,0.0,520,10.72,0,13.5,88528.0,2940.0,893,1033,3733,664,40,0,89,324,110,113.0,219.0,235.0,0.0,0
1003010600,Alabama,Baldwin County,Baldwin County,1,3234,1208,0.0,18,0.56,1,37.5,46500.0,1234.0,878,447,1204,1815,3,2,22,188,73,113.0,498.0,78.0,0.0,0
1003010704,Alabama,Baldwin County,Baldwin County,1,5307,2051,0.0,0,0.0,0,7.4,102885.0,4076.0,1224,935,4440,349,37,3,30,448,235,20.0,0.0,414.0,0.0,0
1003010706,Alabama,Baldwin County,Baldwin County,1,4038,1549,0.0,0,0.0,0,2.5,150893.0,3566.0,881,863,3469,182,84,0,17,286,124,15.0,0.0,176.0,0.0,0
1003010707,Alabama,Baldwin County,Baldwin County,1,4994,1843,0.0,223,4.47,0,5.2,140202.0,5063.0,1128,1051,4449,127,57,2,24,335,200,176.0,13.0,570.0,0.0,0
1003010708,Alabama,Baldwin County,Baldwin County,0,11585,4272,0.0,132,1.14,0,7.6,125506.0,11777.0,3262,1396,9211,987,323,14,52,998,527,195.0,274.0,1112.0,0.0,0
1003010709,Alabama,Baldwin County,Baldwin County,0,11650,4066,0.0,0,0.0,0,3.2,140875.0,10979.0,3269,1897,9815,730,151,9,35,910,487,0.0,0.0,653.0,0.0,0
1003010710,Alabama,Baldwin County,Baldwin County,1,6156,2577,0.0,106,1.72,0,10.4,114231.0,4654.0,1425,1014,4679,817,107,14,33,506,303,0.0,21.0,483.0,0.0,0
1003010711,Alabama,Baldwin County,Baldwin County,1,4230,1849,0.0,86,2.03,1,2.6,70161.0,3511.0,850,761,3305,453,40,3,26,403,234,68.0,105.0,443.0,0.0,0
1003010800,Alabama,Baldwin County,Baldwin County,1,7807,3263,0.0,119,1.52,0,8.8,84371.0,5555.0,1599,1811,5727,1468,74,0,20,518,284,27.0,272.0,613.0,0.0,0
1003010903,Alabama,Baldwin County,Baldwin County,0,6599,2196,0.0,761,11.53,1,13.6,61490.0,3808.0,1478,907,5008,911,59,1,38,582,395,65.0,457.0,467.0,0.0,0
1003010904,Alabama,Baldwin County,Baldwin County,0,7747,2979,0.0,7,0.09,0,5.5,90065.0,5680.0,1733,1372,6747,145,28,6,91,730,362,22.0,274.0,1203.0,0.0,0
1003010906,Alabama,Baldwin County,Baldwin County,1,4754,1739,0.0,151,3.18,1,14.0,59226.0,3052.0,1129,909,3937,248,20,5,30,514,418,44.0,554.0,263.0,0.0,0
1003010907,Alabama,Baldwin County,Baldwin County,0,4081,1531,0.0,0,0.0,0,7.3,108750.0,3562.0,912,692,3311,133,33,3,46,555,441,21.0,64.0,255.0,0.0,0
1003010908,Alabama,Baldwin County,Baldwin County,0,5979,2264,0.0,6,0.1,0,9.7,94219.0,4461.0,1649,771,4601,451,65,0,53,809,629,77.0,106.0,314.0,0.0,0
1003011000,Alabama,Baldwin County,Baldwin County,1,5459,2102,0.0,14,0.26,1,16.7,74688.0,3749.0,1194,1089,4529,263,12,6,43,606,490,12.0,395.0,523.0,0.0,0
1003011102,Alabama,Baldwin County,Baldwin County,0,5684,2051,0.0,0,0.0,0,4.7,97232.0,4837.0,1495,1023,4856,206,57,13,15,537,320,8.0,129.0,463.0,0.0,0
1003011103,Alabama,Baldwin County,Baldwin County,1,3523,1364,0.0,0,0.0,0,8.6,100976.0,2883.0,828,710,3106,90,31,0,14,282,188,48.0,31.0,279.0,0.0,0
1003011104,Alabama,Baldwin County,Baldwin County,1,7875,3261,0.0,22,0.28,0,10.0,106088.0,6648.0,1712,2132,6850,331,68,3,36,587,393,77.0,113.0,416.0,0.0,0
1003011201,Alabama,Baldwin County,Baldwin County,1,4895,2158,0.0,208,4.25,0,5.7,112708.0,3886.0,915,1641,4439,98,45,6,8,299,177,32.0,112.0,317.0,0.0,0
