Field,LongName,Description,Missing_Value_Count
CensusTract20,Census tract 2020,Census tract number in 2020,0
State,State,State name,0
County20,County 2020,County name in 2020,0
County24,County 2024,County name in 2024,0
DD_SRAM_LILATracts_1And10,"Driving Distance, SNAP-authorized Retailer Access Map, Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas","Flag for low-income and low access when considering low accessibilty at 1 and 10 miles, calculated using driving (network-based) distance",0
DD_SRAM_LILATracts_halfAnd10,"Driving Distance, SNAP-authorized Retailer Access Map, Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas","Flag for low-income and low access when considering low accessibilty at 1/2 and 10 miles, calculated using driving (network-based) distance",0
DD_SRAM_LILATracts_1And20,"Driving Distance, SNAP-authorized Retailer Access Map, Low income and low access tract measured at 1 mile for urban areas and 20 miles for rural areas","Flag for low-income and low access when considering low accessibilty at 1 and 20 miles, calculated using driving (network-based) distance",0
DD_SRAM_LILATracts_Vehicle,"Driving Distance, SNAP-authorized Retailer Access Map, Low income and low access tract using vehicle access or low income and low access tract measured at 20 miles","Flag for low-income and low access when considering vehicle access or at 20 miles, calculated using driving (network-based) distance",0
DD_SRAM_HUNVFlag,"Driving Distance, SNAP-authorized Retailer Access Map, Vehicle access, tract with low vehicle access","Flag for tract where >= 100 of households do not have a vehicle, and beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_LA1and10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access tract at 1 mile for urban areas and 10 miles for rural areas","Flag for low access tract at 1 mile for urban areas or 10 miles for rural areas, calculated using driving (network-based) distance",0
DD_SRAM_LAhalfand10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access tract at 1/2 mile for urban areas and 10 miles for rural areas","Flag for low access tract at 1/2 mile for urban areas or 10 miles for rural areas, calculated using driving (network-based) distance",0
DD_SRAM_LA1and20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access tract at 1 mile for urban areas and 20 miles for rural areas","Flag for low access tract at 1 mile for urban areas or 20 miles for rural areas, calculated using driving (network-based) distance",0
DD_SRAM_LATracts_half,"Driving Distance, SNAP-authorized Retailer Access Map, Low access tract at 1/2 mile","Flag for low access tract when considering 1/2 mile distance, calculated using driving (network-based) distance",0
DD_SRAM_LATracts1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access tract at 1 mile","Flag for low access tract when considering 1 mile distance, calculated using driving (network-based) distance",0
