Field,LongName,Description,Missing_Value_Count
CensusTract20,Census tract 2020,Census tract number in 2020,0
State,State,State name,0
County20,County 2020,County name in 2020,0
County24,County 2024,County name in 2024,0
Urban,Urban tract,Flag for urban tract,0
POP2020,"Population, tract total",Population count from 2020 census,0
OHU2020,"Housing units, total",Occupied housing unit count from 2020 census,0
GroupQuartersFlag,"Group quarters, tract with high share",Flag for tract where >=67%,0
NUMGQTRS,"Group quarters, tract population residing in, number",Count of tract population residing in group quarters,0
PCTGQTRS,"Group quarters, tract population residing in, share",Percent of tract population residing in group quarters,0
LowIncomeTracts,Low income tract,Flag for low income tract,0
PovertyRate,Tract poverty rate,Share of the tract population living with income at or below the Federal poverty thresholds for family size,0
MedianFamilyIncome,Tract median family income,Tract median family income,0
TractLOWI,"Tract low-income population, number",Total count of low-income population in tract,0
TractKids,"Tract children age 0-17, number",Total count of children age 0-17 in tract,0
TractSeniors,"Tract seniors age 65+, number",Total count of seniors age 65+ in tract,0
TractWhite,"Tract White population, number",Total count of White population in tract,0
TractBlack,"Tract Black or African American population, number",Total count of Black or African American population in tract,0
TractAsian,"Tract Asian population, number",Total count of Asian population in tract,0
TractNHOPI,"Tract Native Hawaiian and Other Pacific Islander population, number",Total count of Native Hawaiian and Other Pacific Islander population in tract,0
TractAIAN,"Tract American Indian and Alaska Native population, number",Total count of American Indian and Alaska Native population in tract,0
TractOMultir,"Tract Other/Multiple race population, number",Total count of Other/Multiple race population in tract,0
TractHispanic,"Tract Hispanic or Latino population, number",Total count of Hispanic or Latino population in tract,0
TractHUNV,"Tract housing units without a vehicle, number",Total count of housing units without a vehicle in tract,0
TractSNAP,"Tract housing units receiving SNAP benefits, number",Total count of housing units receiving SNAP benefits in tract,0
TractVeteran,"Tract Veteran population, number",Total count of Veteran population in tract,0
TractTribalArea,"Tract Tribal area, share",Share of the tract that is American Indian tribal subdivision area (administrative subdivisions of federally recognized American Indian reservations/off-reservation trust lands or Oklahoma tribal statistical areas (OTSAs),0
