GEO_ID,NAME,county_fips,education_less_than_9th_pct,education_9th_to_12th_no_diploma_pct,digital_with_computer_pct,digital_with_broadband_pct
0500000US01001,"Autauga County, Alabama",01001,1.5,7.2,96.6,93.2
0500000US01003,"Baldwin County, Alabama",01003,2.3,5.9,94.9,90.6
0500000US01005,"Barbour County, Alabama",01005,7.0,14.9,90.2,75.5
0500000US01007,"Bibb County, Alabama",01007,5.7,12.0,91.9,82.9
0500000US01009,"Blount County, Alabama",01009,5.6,11.2,93.5,85.0
0500000US01011,"Bullock County, Alabama",01011,10.8,14.4,84.2,68.1
0500000US01013,"Butler County, Alabama",01013,4.7,8.4,91.7,82.7
0500000US01015,"Calhoun County, Alabama",01015,4.1,9.5,94.3,87.3
0500000US01017,"Chambers County, Alabama",01017,5.6,10.7,91.5,82.1
0500000US01019,"Cherokee County, Alabama",01019,5.7,11.9,90.9,82.6
0500000US01021,"Chilton County, Alabama",01021,4.6,10.0,90.0,83.3
0500000US01023,"Choctaw County, Alabama",01023,5.3,8.5,84.7,76.1
0500000US01025,"Clarke County, Alabama",01025,3.7,10.2,83.7,73.7
0500000US01027,"Clay County, Alabama",01027,5.2,11.6,88.2,80.4
0500000US01029,"Cleburne County, Alabama",01029,3.8,10.4,90.0,76.0
0500000US01031,"Coffee County, Alabama",01031,4.2,8.7,92.6,86.8
0500000US01033,"Colbert County, Alabama",01033,3.9,8.7,90.8,81.9
0500000US01035,"Conecuh County, Alabama",01035,2.6,8.1,83.5,72.7
0500000US01037,"Coosa County, Alabama",01037,3.9,12.2,88.8,80.7
0500000US01039,"Covington County, Alabama",01039,4.5,10.3,89.6,83.8
0500000US01041,"Crenshaw County, Alabama",01041,5.2,8.8,84.3,69.2
0500000US01043,"Cullman County, Alabama",01043,4.1,9.6,92.7,87.3
0500000US01045,"Dale County, Alabama",01045,3.8,9.7,93.9,86.0
0500000US01047,"Dallas County, Alabama",01047,2.5,9.8,87.5,80.5
0500000US01049,"DeKalb County, Alabama",01049,10.7,10.1,91.4,86.9
0500000US01051,"Elmore County, Alabama",01051,2.8,7.5,96.4,91.7
0500000US01053,"Escambia County, Alabama",01053,4.2,11.4,88.2,79.0
0500000US01055,"Etowah County, Alabama",01055,4.3,9.6,92.5,87.5
0500000US01057,"Fayette County, Alabama",01057,5.4,8.9,87.5,80.9
0500000US01059,"Franklin County, Alabama",01059,7.8,11.7,86.4,72.0
0500000US01061,"Geneva County, Alabama",01061,5.9,10.1,90.2,79.6
0500000US01063,"Greene County, Alabama",01063,3.8,9.3,82.3,67.0
