GEO_ID,NAME,county_fips,housing_vacancy_pct,housing_no_vehicle_pct,housing_renter_pct,housing_crowded_1_01_to_1_50_pct,housing_crowded_1_51_plus_pct,housing_rent_30_to_34_9_pct,housing_rent_35_plus_pct
0500000US01001,"Autauga County, Alabama",01001,8.5,4.1,22.9,1.4,0.3,2.8,31.8
0500000US01003,"Baldwin County, Alabama",01003,25.5,2.7,22.4,1.2,0.5,8.5,38.7
0500000US01005,"Barbour County, Alabama",01005,22.4,10.5,31.8,1.3,0.4,9.4,27.3
0500000US01007,"Bibb County, Alabama",01007,15.6,5.4,20.8,1.0,0.8,13.6,46.4
0500000US01009,"Blount County, Alabama",01009,11.0,4.0,19.0,1.5,1.0,5.5,36.8
0500000US01011,"Bullock County, Alabama",01011,19.5,10.0,33.4,3.2,0.9,2.9,48.4
0500000US01013,"Butler County, Alabama",01013,23.1,5.9,34.2,0.4,0.3,10.5,35.2
0500000US01015,"Calhoun County, Alabama",01015,15.6,6.4,29.7,1.1,0.4,8.0,36.9
0500000US01017,"Chambers County, Alabama",01017,18.3,7.3,28.2,1.2,2.5,11.3,35.6
0500000US01019,"Cherokee County, Alabama",01019,30.7,2.8,18.9,0.7,0.6,2.7,37.3
0500000US01021,"Chilton County, Alabama",01021,9.9,2.6,23.1,2.3,0.3,3.9,31.5
0500000US01023,"Choctaw County, Alabama",01023,27.0,8.8,17.6,1.1,0.0,9.5,28.0
0500000US01025,"Clarke County, Alabama",01025,28.3,11.6,29.2,0.9,0.6,13.9,43.6
0500000US01027,"Clay County, Alabama",01027,18.1,5.8,20.6,2.0,0.7,11.2,29.5
0500000US01029,"Cleburne County, Alabama",01029,13.0,5.6,21.5,1.9,1.0,15.1,35.4
0500000US01031,"Coffee County, Alabama",01031,14.9,4.0,27.7,0.9,0.8,7.0,31.9
0500000US01033,"Colbert County, Alabama",01033,13.3,4.6,28.7,0.7,0.4,5.4,35.2
0500000US01035,"Conecuh County, Alabama",01035,31.5,5.8,25.7,1.5,0.3,3.8,47.3
0500000US01037,"Coosa County, Alabama",01037,27.1,6.0,18.4,0.5,2.3,4.3,59.2
0500000US01039,"Covington County, Alabama",01039,21.8,6.2,23.7,1.0,0.2,12.7,37.3
0500000US01041,"Crenshaw County, Alabama",01041,20.5,7.3,26.8,1.2,0.4,10.6,33.5
0500000US01043,"Cullman County, Alabama",01043,11.3,3.2,23.4,2.1,0.5,7.9,31.0
0500000US01045,"Dale County, Alabama",01045,14.1,5.7,38.1,1.0,0.5,8.9,31.0
0500000US01047,"Dallas County, Alabama",01047,15.8,14.1,36.2,0.9,0.7,5.6,56.5
0500000US01049,"DeKalb County, Alabama",01049,15.4,4.2,21.7,2.9,1.5,9.4,35.0
0500000US01051,"Elmore County, Alabama",01051,12.0,3.4,23.0,1.5,0.1,6.6,38.8
0500000US01053,"Escambia County, Alabama",01053,23.8,5.7,29.1,0.6,0.2,7.2,36.3
0500000US01055,"Etowah County, Alabama",01055,17.2,4.4,26.1,1.3,0.7,8.9,39.5
0500000US01057,"Fayette County, Alabama",01057,19.9,7.6,21.6,0.4,0.7,2.5,30.7
0500000US01059,"Franklin County, Alabama",01059,14.6,7.7,27.6,2.4,0.4,5.0,30.8
0500000US01061,"Geneva County, Alabama",01061,15.4,6.0,21.9,1.2,0.5,8.4,31.3
0500000US01063,"Greene County, Alabama",01063,24.6,13.3,38.4,2.6,0.4,23.8,26.3
0500000US01065,"Hale County, Alabama",01065,25.7,11.2,25.6,2.2,0.6,3.4,46.7
0500000US01067,"Henry County, Alabama",01067,23.4,7.5,20.5,0.3,0.3,14.5,32.7
0500000US01069,"Houston County, Alabama",01069,13.7,6.8,36.2,1.2,0.3,9.5,36.5
0500000US01071,"Jackson County, Alabama",01071,12.5,4.9,24.9,1.3,0.4,12.3,32.5
0500000US01073,"Jefferson County, Alabama",01073,13.2,7.0,36.1,1.1,0.4,10.0,43.5
0500000US01075,"Lamar County, Alabama",01075,28.6,6.1,24.3,0.8,0.5,9.4,42.4
0500000US01077,"Lauderdale County, Alabama",01077,12.6,5.1,31.1,0.4,0.3,8.7,28.8
0500000US01079,"Lawrence County, Alabama",01079,11.5,4.4,18.3,0.9,0.2,12.8,25.2
0500000US01081,"Lee County, Alabama",01081,12.8,4.8,33.7,0.7,1.3,6.8,50.5
0500000US01083,"Limestone County, Alabama",01083,7.7,3.5,22.4,1.0,0.4,9.3,31.5
0500000US01085,"Lowndes County, Alabama",01085,11.6,8.8,22.5,1.0,1.7,9.5,44.4
0500000US01087,"Macon County, Alabama",01087,25.0,9.5,38.5,0.9,0.7,6.7,45.1
0500000US01089,"Madison County, Alabama",01089,7.6,4.0,31.7,1.0,0.2,8.3,35.9
0500000US01091,"Marengo County, Alabama",01091,20.0,10.2,29.8,1.1,0.4,7.8,46.4
0500000US01093,"Marion County, Alabama",01093,25.4,4.2,23.2,2.1,0.0,13.6,32.7
0500000US01095,"Marshall County, Alabama",01095,12.7,4.4,24.2,1.7,0.4,14.5,32.0
0500000US01097,"Mobile County, Alabama",01097,13.1,6.0,34.0,1.2,0.5,11.0,44.6
0500000US01099,"Monroe County, Alabama",01099,27.9,4.3,28.3,1.7,0.1,16.1,35.2
0500000US01101,"Montgomery County, Alabama",01101,13.9,6.6,42.2,1.7,0.9,7.8,45.6
0500000US01103,"Morgan County, Alabama",01103,9.0,4.8,27.3,1.6,0.3,8.9,36.2
0500000US01105,"Perry County, Alabama",01105,13.2,8.0,22.5,0.5,0.0,2.7,47.9
0500000US01107,"Pickens County, Alabama",01107,22.5,7.1,24.2,0.7,0.4,8.5,31.9
0500000US01109,"Pike County, Alabama",01109,23.1,5.7,38.7,1.1,0.5,7.4,47.5
