GEO_ID,NAME,county_fips,population_total,median_age_years,female_pct
0500000US01001,"Autauga County, Alabama",01001,59947,39.0,
0500000US01003,"Baldwin County, Alabama",01003,246989,43.9,
0500000US01005,"Barbour County, Alabama",01005,24643,40.8,
0500000US01007,"Bibb County, Alabama",01007,22130,41.2,
0500000US01009,"Blount County, Alabama",01009,59518,41.3,
0500000US01011,"Bullock County, Alabama",01011,10058,43.0,
0500000US01013,"Butler County, Alabama",01013,18630,42.7,
0500000US01015,"Calhoun County, Alabama",01015,116090,39.3,
0500000US01017,"Chambers County, Alabama",01017,34192,41.3,
0500000US01019,"Cherokee County, Alabama",01019,25443,47.5,
0500000US01021,"Chilton County, Alabama",01021,45992,38.7,
0500000US01023,"Choctaw County, Alabama",01023,12380,47.4,
0500000US01025,"Clarke County, Alabama",01025,22543,42.8,
0500000US01027,"Clay County, Alabama",01027,14192,44.7,
0500000US01029,"Cleburne County, Alabama",01029,15426,42.7,
0500000US01031,"Coffee County, Alabama",01031,54920,39.0,
0500000US01033,"Colbert County, Alabama",01033,58022,42.9,
0500000US01035,"Conecuh County, Alabama",01035,11275,46.7,
0500000US01037,"Coosa County, Alabama",01037,10300,50.1,
0500000US01039,"Covington County, Alabama",01039,37628,43.3,
0500000US01041,"Crenshaw County, Alabama",01041,13122,42.2,
0500000US01043,"Cullman County, Alabama",01043,90566,40.8,
0500000US01045,"Dale County, Alabama",01045,49599,37.7,
0500000US01047,"Dallas County, Alabama",01047,36858,41.2,
0500000US01049,"DeKalb County, Alabama",01049,72269,39.5,
0500000US01051,"Elmore County, Alabama",01051,89526,39.5,
0500000US01053,"Escambia County, Alabama",01053,36629,40.6,
0500000US01055,"Etowah County, Alabama",01055,103105,41.7,
0500000US01057,"Fayette County, Alabama",01057,16053,43.3,
0500000US01059,"Franklin County, Alabama",01059,31966,38.0,
0500000US01061,"Geneva County, Alabama",01061,26887,43.7,
0500000US01063,"Greene County, Alabama",01063,7424,42.5,
0500000US01065,"Hale County, Alabama",01065,14829,40.6,
0500000US01067,"Henry County, Alabama",01067,17647,44.8,
0500000US01069,"Houston County, Alabama",01069,108140,40.3,
0500000US01071,"Jackson County, Alabama",01071,53053,43.5,
