GEO_ID,NAME,county_fips,education_high_school_pct,education_college_pct,education_bachelors_or_higher_pct
0500000US01001,"Autauga County, Alabama",01001,33.7,21.2,29.1
0500000US01003,"Baldwin County, Alabama",01003,27.1,21.3,33.7
0500000US01005,"Barbour County, Alabama",01005,37.9,19.7,10.6
0500000US01007,"Bibb County, Alabama",01007,42.5,20.3,11.7
0500000US01009,"Blount County, Alabama",01009,35.9,20.5,15.8
0500000US01011,"Bullock County, Alabama",01011,42.9,17.6,8.1
0500000US01013,"Butler County, Alabama",01013,45.7,18.3,13.5
0500000US01015,"Calhoun County, Alabama",01015,34.5,22.5,20.6
0500000US01017,"Chambers County, Alabama",01017,38.1,21.5,14.9
0500000US01019,"Cherokee County, Alabama",01019,35.3,19.5,16.5
0500000US01021,"Chilton County, Alabama",01021,41.4,18.8,16.5
0500000US01023,"Choctaw County, Alabama",01023,42.0,20.4,15.8
0500000US01025,"Clarke County, Alabama",01025,44.4,19.4,15.0
0500000US01027,"Clay County, Alabama",01027,36.3,21.0,14.7
0500000US01029,"Cleburne County, Alabama",01029,42.4,19.0,17.0
0500000US01031,"Coffee County, Alabama",01031,30.1,21.2,22.5
0500000US01033,"Colbert County, Alabama",01033,31.5,24.2,21.7
0500000US01035,"Conecuh County, Alabama",01035,46.4,21.5,13.4
0500000US01037,"Coosa County, Alabama",01037,40.3,21.1,13.9
0500000US01039,"Covington County, Alabama",01039,35.1,19.9,17.2
0500000US01041,"Crenshaw County, Alabama",01041,41.1,16.5,18.7
0500000US01043,"Cullman County, Alabama",01043,31.9,22.6,19.7
0500000US01045,"Dale County, Alabama",01045,30.9,24.4,20.4
0500000US01047,"Dallas County, Alabama",01047,41.2,17.4,17.5
0500000US01049,"DeKalb County, Alabama",01049,33.7,19.7,14.1
0500000US01051,"Elmore County, Alabama",01051,33.7,21.0,25.4
0500000US01053,"Escambia County, Alabama",01053,41.9,18.7,13.5
0500000US01055,"Etowah County, Alabama",01055,34.5,22.9,18.1
0500000US01057,"Fayette County, Alabama",01057,39.9,21.9,14.9
0500000US01059,"Franklin County, Alabama",01059,38.8,18.5,15.8
0500000US01061,"Geneva County, Alabama",01061,39.2,21.0,13.2
0500000US01063,"Greene County, Alabama",01063,47.9,15.3,15.1
0500000US01065,"Hale County, Alabama",01065,36.8,18.7,17.6
0500000US01067,"Henry County, Alabama",01067,31.1,21.5,21.8
0500000US01069,"Houston County, Alabama",01069,32.3,22.5,23.0
0500000US01071,"Jackson County, Alabama",01071,37.6,19.1,15.9
0500000US01073,"Jefferson County, Alabama",01073,26.3,20.5,36.2
0500000US01075,"Lamar County, Alabama",01075,39.4,22.6,12.1
0500000US01077,"Lauderdale County, Alabama",01077,32.9,19.6,29.8
0500000US01079,"Lawrence County, Alabama",01079,40.9,19.7,15.2
0500000US01081,"Lee County, Alabama",01081,21.8,19.1,42.4
0500000US01083,"Limestone County, Alabama",01083,26.5,21.5,30.2
0500000US01085,"Lowndes County, Alabama",01085,42.3,17.5,14.4
0500000US01087,"Macon County, Alabama",01087,31.9,23.5,21.1
0500000US01089,"Madison County, Alabama",01089,19.2,19.4,46.4
0500000US01091,"Marengo County, Alabama",01091,33.8,22.3,19.5
0500000US01093,"Marion County, Alabama",01093,38.6,20.4,13.3
0500000US01095,"Marshall County, Alabama",01095,32.2,19.2,21.5
0500000US01097,"Mobile County, Alabama",01097,33.5,21.1,26.0
0500000US01099,"Monroe County, Alabama",01099,46.2,18.5,11.7
0500000US01101,"Montgomery County, Alabama",01101,26.2,21.0,34.5
0500000US01103,"Morgan County, Alabama",01103,31.0,22.6,23.3
0500000US01105,"Perry County, Alabama",01105,41.9,18.5,15.8
0500000US01107,"Pickens County, Alabama",01107,45.6,17.9,13.1
0500000US01109,"Pike County, Alabama",01109,32.2,19.2,28.0
0500000US01111,"Randolph County, Alabama",01111,37.7,16.8,18.4
0500000US01113,"Russell County, Alabama",01113,32.5,25.5,18.2
0500000US01115,"St. Clair County, Alabama",01115,34.0,23.1,21.4
0500000US01117,"Shelby County, Alabama",01117,20.4,19.3,46.8
0500000US01119,"Sumter County, Alabama",01119,35.3,25.1,19.0
0500000US01121,"Talladega County, Alabama",01121,36.3,23.9,16.5
