GEO_ID,NAME,county_fips,median_household_income
0500000US01001,"Autauga County, Alabama",01001,72481
0500000US01003,"Baldwin County, Alabama",01003,78775
0500000US01005,"Barbour County, Alabama",01005,46042
0500000US01007,"Bibb County, Alabama",01007,52541
0500000US01009,"Blount County, Alabama",01009,64190
0500000US01011,"Bullock County, Alabama",01011,31310
0500000US01013,"Butler County, Alabama",01013,44755
0500000US01015,"Calhoun County, Alabama",01015,55029
0500000US01017,"Chambers County, Alabama",01017,49656
0500000US01019,"Cherokee County, Alabama",01019,53863
0500000US01021,"Chilton County, Alabama",01021,65603
0500000US01023,"Choctaw County, Alabama",01023,47813
0500000US01025,"Clarke County, Alabama",01025,49249
0500000US01027,"Clay County, Alabama",01027,55250
0500000US01029,"Cleburne County, Alabama",01029,55345
0500000US01031,"Coffee County, Alabama",01031,68353
0500000US01033,"Colbert County, Alabama",01033,60628
0500000US01035,"Conecuh County, Alabama",01035,41327
0500000US01037,"Coosa County, Alabama",01037,57355
0500000US01039,"Covington County, Alabama",01039,52456
0500000US01041,"Crenshaw County, Alabama",01041,48560
0500000US01043,"Cullman County, Alabama",01043,62656
0500000US01045,"Dale County, Alabama",01045,54963
0500000US01047,"Dallas County, Alabama",01047,35627
0500000US01049,"DeKalb County, Alabama",01049,51204
0500000US01051,"Elmore County, Alabama",01051,78243
0500000US01053,"Escambia County, Alabama",01053,48225
0500000US01055,"Etowah County, Alabama",01055,54563
0500000US01057,"Fayette County, Alabama",01057,49488
0500000US01059,"Franklin County, Alabama",01059,53338
0500000US01061,"Geneva County, Alabama",01061,52771
0500000US01063,"Greene County, Alabama",01063,29200
0500000US01065,"Hale County, Alabama",01065,39250
0500000US01067,"Henry County, Alabama",01067,59931
0500000US01069,"Houston County, Alabama",01069,58626
0500000US01071,"Jackson County, Alabama",01071,51908
0500000US01073,"Jefferson County, Alabama",01073,66388
0500000US01075,"Lamar County, Alabama",01075,50000
0500000US01077,"Lauderdale County, Alabama",01077,62649
0500000US01079,"Lawrence County, Alabama",01079,66071
0500000US01081,"Lee County, Alabama",01081,65824
0500000US01083,"Limestone County, Alabama",01083,83629
0500000US01085,"Lowndes County, Alabama",01085,37052
0500000US01087,"Macon County, Alabama",01087,43707
0500000US01089,"Madison County, Alabama",01089,86499
0500000US01091,"Marengo County, Alabama",01091,43825
0500000US01093,"Marion County, Alabama",01093,50088
0500000US01095,"Marshall County, Alabama",01095,62571
0500000US01097,"Mobile County, Alabama",01097,58880
0500000US01099,"Monroe County, Alabama",01099,42292
0500000US01101,"Montgomery County, Alabama",01101,59386
0500000US01103,"Morgan County, Alabama",01103,68845
