county_fips,county_name,state_abbr,state_name,places_year,prevalence_type,measure_id,measure_name,value_unit,prevalence_pct
05049,Fulton,AR,Arkansas,2023,Crude prevalence,CASTHMA,Current asthma among adults,%,10.6
05091,Miller,AR,Arkansas,2023,Crude prevalence,STROKE,Stroke among adults,%,4.7
05119,Pulaski,AR,Arkansas,2023,Crude prevalence,STROKE,Stroke among adults,%,3.9
05141,Van Buren,AR,Arkansas,2023,Crude prevalence,STROKE,Stroke among adults,%,5.4
08065,Lake,CO,Colorado,2023,Crude prevalence,CASTHMA,Current asthma among adults,%,10.2
08125,Yuma,CO,Colorado,2023,Crude prevalence,OBESITY,Obesity among adults,%,28.4
12009,Brevard,FL,Florida,2023,Crude prevalence,DIABETES,Diagnosed diabetes among adults,%,13.1
12017,Citrus,FL,Florida,2023,Crude prevalence,DIABETES,Diagnosed diabetes among adults,%,15.8
13063,Clayton,GA,Georgia,2023,Crude prevalence,STROKE,Stroke among adults,%,4.3
13161,Jeff Davis,GA,Georgia,2023,Crude prevalence,STROKE,Stroke among adults,%,4.8
13225,Peach,GA,Georgia,2023,Crude prevalence,OBESITY,Obesity among adults,%,39.3
13261,Sumter,GA,Georgia,2023,Crude prevalence,STROKE,Stroke among adults,%,4.8
13289,Twiggs,GA,Georgia,2023,Crude prevalence,OBESITY,Obesity among adults,%,39.7
16005,Bannock,ID,Idaho,2023,Crude prevalence,STROKE,Stroke among adults,%,3.1
17011,Bureau,IL,Illinois,2023,Crude prevalence,STROKE,Stroke among adults,%,4.1
17031,Cook,IL,Illinois,2023,Crude prevalence,OBESITY,Obesity among adults,%,31.0
18065,Henry,IN,Indiana,2023,Crude prevalence,STROKE,Stroke among adults,%,3.9
18099,Marshall,IN,Indiana,2023,Crude prevalence,STROKE,Stroke among adults,%,3.9
18143,Scott,IN,Indiana,2023,Crude prevalence,STROKE,Stroke among adults,%,3.9
18151,Steuben,IN,Indiana,2023,Crude prevalence,STROKE,Stroke among adults,%,3.7
19171,Tama,IA,Iowa,2023,Crude prevalence,OBESITY,Obesity among adults,%,40.2
20081,Haskell,KS,Kansas,2023,Crude prevalence,DIABETES,Diagnosed diabetes among adults,%,13.2
20197,Wabaunsee,KS,Kansas,2023,Crude prevalence,OBESITY,Obesity among adults,%,35.1
23009,Hancock,ME,Maine,2023,Crude prevalence,CASTHMA,Current asthma among adults,%,12.1
24013,Carroll,MD,Maryland,2023,Crude prevalence,CASTHMA,Current asthma among adults,%,10.1
26059,Hillsdale,MI,Michigan,2023,Crude prevalence,STROKE,Stroke among adults,%,4.2
26069,Iosco,MI,Michigan,2023,Crude prevalence,STROKE,Stroke among adults,%,5.3
27013,Blue Earth,MN,Minnesota,2023,Crude prevalence,DIABETES,Diagnosed diabetes among adults,%,9.4
27051,Grant,MN,Minnesota,2023,Crude prevalence,OBESITY,Obesity among adults,%,39.7
31031,Cherry,NE,Nebraska,2023,Crude prevalence,STROKE,Stroke among adults,%,4.1
31045,Dawes,NE,Nebraska,2023,Crude prevalence,OBESITY,Obesity among adults,%,35.5
31071,Garfield,NE,Nebraska,2023,Crude prevalence,OBESITY,Obesity among adults,%,38.8
31171,Thomas,NE,Nebraska,2023,Crude prevalence,CASTHMA,Current asthma among adults,%,9.0
31179,Wayne,NE,Nebraska,2023,Crude prevalence,OBESITY,Obesity among adults,%,37.3
32007,Elko,NV,Nevada,2023,Crude prevalence,STROKE,Stroke among adults,%,3.3
34017,Hudson,NJ,New Jersey,2023,Crude prevalence,STROKE,Stroke among adults,%,2.6
35027,Lincoln,NM,New Mexico,2023,Crude prevalence,STROKE,Stroke among adults,%,4.7
35035,Otero,NM,New Mexico,2023,Crude prevalence,STROKE,Stroke among adults,%,3.9
36015,Chemung,NY,New York,2023,Crude prevalence,STROKE,Stroke among adults,%,3.8
36017,Chenango,NY,New York,2023,Crude prevalence,STROKE,Stroke among adults,%,4.1
36021,Columbia,NY,New York,2023,Crude prevalence,STROKE,Stroke among adults,%,3.9
