CensusTract20,State,County20,Urban,POP2020,OHU2020,LowIncomeTracts,PovertyRate,TractHUNV,TractSNAP,tract_geoid,DD_SRAM_LILATracts_1And10,DD_SRAM_HUNVFlag,DD_SRAM_LAPOP1_10,DD_SRAM_lapop1share,DD_SRAM_lahunv1,DD_SRAM_lasnap1,SD_SRAM_LILATracts_1And10,SD_SRAM_HUNVFlag,SD_SRAM_LAPOP1_10,SD_SRAM_lapop1share,SD_SRAM_lahunv1,SD_SRAM_lasnap1,state_fips,county_fips,tract_code
1001020100,Alabama,Autauga County,1,1775,646,0,17.4,35,100,01001020100,0,0,1469,82.76,29,83,0,0,1080,60.85,21,61,01,01001,020100
1001020200,Alabama,Autauga County,1,2055,723,1,9.5,28,143,01001020200,0,0,355,17.27,5,25,0,0,167,8.13,2,12,01,01001,020200
1001020300,Alabama,Autauga County,1,3216,1291,0,7.1,84,111,01001020300,0,0,981,30.5,26,34,0,0,612,19.03,16,21,01,01001,020300
1001020400,Alabama,Autauga County,1,4246,1707,0,15.3,114,78,01001020400,0,0,1089,25.65,29,20,0,0,14,0.33,0,0,01,01001,020400
1001020501,Alabama,Autauga County,1,4322,1778,0,3.5,9,53,01001020501,0,0,1201,27.79,3,15,0,0,102,2.36,0,1,01,01001,020501
1001020502,Alabama,Autauga County,1,3284,1329,0,13.0,99,105,01001020502,0,0,297,9.04,9,9,0,0,0,0.0,0,0,01,01001,020502
1001020503,Alabama,Autauga County,1,3616,1466,0,14.9,35,18,01001020503,0,0,882,24.39,9,4,0,0,0,0.0,0,0,01,01001,020503
1001020600,Alabama,Autauga County,1,3729,1406,0,10.4,11,148,01001020600,0,0,2127,57.04,6,84,0,0,343,9.2,1,14,01,01001,020600
1001020700,Alabama,Autauga County,1,3409,1399,1,21.1,21,262,01001020700,1,0,1307,38.34,8,100,0,0,279,8.18,2,21,01,01001,020700
1001020801,Alabama,Autauga County,0,3143,1097,0,7.4,0,163,01001020801,0,0,2,98.09,0,160,0,0,0,90.26,0,147,01,01001,020801
1001020803,Alabama,Autauga County,0,4635,1675,1,14.7,209,330,01001020803,0,1,0,95.23,199,314,0,1,0,77.39,162,255,01,01001,020803
1001020804,Alabama,Autauga County,0,6064,2014,0,4.6,0,24,01001020804,0,0,0,66.59,0,16,0,0,0,46.6,0,11,01,01001,020804
1001020805,Alabama,Autauga County,0,3122,1133,0,2.7,125,25,01001020805,0,1,0,90.87,114,23,0,1,0,65.73,82,16,01,01001,020805
1001020901,Alabama,Autauga County,0,3268,1195,0,10.3,47,111,01001020901,0,0,0,86.38,41,96,0,0,0,76.71,36,85,01,01001,020901
1001020902,Alabama,Autauga County,0,3091,1174,0,7.7,49,121,01001020902,0,0,36,96.31,47,117,0,0,0,84.15,41,102,01,01001,020902
1001021000,Alabama,Autauga County,0,2645,1064,0,19.7,22,78,01001021000,0,0,49,98.68,22,77,0,0,0,96.67,21,75,01,01001,021000
1001021100,Alabama,Autauga County,0,3185,1315,1,20.1,59,246,01001021100,0,0,155,91.4,54,225,0,0,0,86.28,51,212,01,01001,021100
1003010100,Alabama,Baldwin County,0,3745,1529,1,18.0,41,320,01003010100,0,0,286,92.84,38,297,0,0,10,85.31,35,273,01,01003,010100
1003010200,Alabama,Baldwin County,0,3000,1180,0,8.2,47,134,01003010200,0,0,63,84.97,40,114,0,0,0,68.53,32,92,01,01003,010200
1003010300,Alabama,Baldwin County,0,8380,3024,0,7.7,61,300,01003010300,0,0,8,89.16,54,267,0,0,0,78.51,48,236,01,01003,010300
1003010400,Alabama,Baldwin County,0,5722,2180,0,9.6,30,235,01003010400,0,0,88,94.69,28,223,0,0,6,83.43,25,196,01,01003,010400
1003010500,Alabama,Baldwin County,1,4850,1877,0,13.5,113,219,01003010500,0,0,813,16.76,19,37,0,0,282,5.81,7,13,01,01003,010500
1003010600,Alabama,Baldwin County,1,3234,1208,1,37.5,113,498,01003010600,1,0,1110,34.32,39,171,1,0,680,21.03,24,105,01,01003,010600
1003010704,Alabama,Baldwin County,1,5307,2051,0,7.4,20,0,01003010704,0,0,3716,70.02,14,0,0,0,1492,28.11,6,0,01,01003,010704
1003010706,Alabama,Baldwin County,1,4038,1549,0,2.5,15,0,01003010706,0,0,3336,82.62,12,0,0,0,1403,34.74,5,0,01,01003,010706
1003010707,Alabama,Baldwin County,1,4994,1843,0,5.2,176,13,01003010707,0,1,2131,42.67,75,6,0,0,313,6.27,11,1,01,01003,010707
1003010708,Alabama,Baldwin County,0,11585,4272,0,7.6,195,274,01003010708,0,1,0,50.99,99,140,0,1,0,39.66,77,109,01,01003,010708
1003010709,Alabama,Baldwin County,0,11650,4066,0,3.2,0,0,01003010709,0,0,0,79.39,0,0,0,0,0,42.13,0,0,01,01003,010709
1003010710,Alabama,Baldwin County,1,6156,2577,0,10.4,0,21,01003010710,0,0,3560,57.83,0,12,0,0,2678,43.5,0,9,01,01003,010710
1003010711,Alabama,Baldwin County,1,4230,1849,1,2.6,68,105,01003010711,1,0,873,20.64,14,22,0,0,445,10.52,7,11,01,01003,010711
1003010800,Alabama,Baldwin County,1,7807,3263,0,8.8,27,272,01003010800,0,0,4506,57.72,16,157,0,0,2066,26.46,7,72,01,01003,010800
