county_fips,education_less_than_9th_pct,education_9th_to_12th_no_diploma_pct,digital_with_computer_pct,digital_with_broadband_pct,unemployment_pct,public_assistance_pct,uninsured_pct,mean_commute_minutes,housing_vacancy_pct,housing_no_vehicle_pct,housing_renter_pct,housing_crowded_1_01_to_1_50_pct,housing_crowded_1_51_plus_pct,housing_rent_30_to_34_9_pct,housing_rent_35_plus_pct,population_total,median_age_years,female_pct,education_high_school_pct,education_college_pct,education_bachelors_or_higher_pct,poverty_pct,median_household_income
01001,1.5,7.2,96.6,93.2,1.3,1.0,7.3,27.9,8.5,4.1,22.9,1.4,0.3,2.8,31.8,59947,39.0,,33.7,21.2,29.1,11.3,72481
01003,2.3,5.9,94.9,90.6,1.8,1.0,8.3,27.0,25.5,2.7,22.4,1.2,0.5,8.5,38.7,246989,43.9,,27.1,21.3,33.7,10.1,78775
01005,7.0,14.9,90.2,75.5,3.5,1.9,10.3,27.1,22.4,10.5,31.8,1.3,0.4,9.4,27.3,24643,40.8,,37.9,19.7,10.6,21.4,46042
01007,5.7,12.0,91.9,82.9,6.0,8.5,6.9,31.7,15.6,5.4,20.8,1.0,0.8,13.6,46.4,22130,41.2,,42.5,20.3,11.7,22.5,52541
01009,5.6,11.2,93.5,85.0,2.9,2.4,10.3,35.8,11.0,4.0,19.0,1.5,1.0,5.5,36.8,59518,41.3,,35.9,20.5,15.8,12.9,64190
01011,10.8,14.4,84.2,68.1,3.0,0.2,11.8,31.8,19.5,10.0,33.4,3.2,0.9,2.9,48.4,10058,43.0,,42.9,17.6,8.1,33.3,31310
01013,4.7,8.4,91.7,82.7,3.3,1.3,12.3,25.0,23.1,5.9,34.2,0.4,0.3,10.5,35.2,18630,42.7,,45.7,18.3,13.5,22.4,44755
01015,4.1,9.5,94.3,87.3,3.3,2.0,10.2,25.2,15.6,6.4,29.7,1.1,0.4,8.0,36.9,116090,39.3,,34.5,22.5,20.6,17.9,55029
01017,5.6,10.7,91.5,82.1,2.8,1.4,11.0,23.1,18.3,7.3,28.2,1.2,2.5,11.3,35.6,34192,41.3,,38.1,21.5,14.9,15.7,49656
01019,5.7,11.9,90.9,82.6,1.9,2.6,7.2,30.5,30.7,2.8,18.9,0.7,0.6,2.7,37.3,25443,47.5,,35.3,19.5,16.5,14.8,53863
01021,4.6,10.0,90.0,83.3,3.2,2.5,11.1,31.0,9.9,2.6,23.1,2.3,0.3,3.9,31.5,45992,38.7,,41.4,18.8,16.5,14.0,65603
01023,5.3,8.5,84.7,76.1,2.4,2.3,8.6,33.6,27.0,8.8,17.6,1.1,0.0,9.5,28.0,12380,47.4,,42.0,20.4,15.8,16.5,47813
01025,3.7,10.2,83.7,73.7,4.7,0.9,7.5,25.1,28.3,11.6,29.2,0.9,0.6,13.9,43.6,22543,42.8,,44.4,19.4,15.0,20.1,49249
01027,5.2,11.6,88.2,80.4,1.1,4.9,7.2,28.5,18.1,5.8,20.6,2.0,0.7,11.2,29.5,14192,44.7,,36.3,21.0,14.7,17.6,55250
01029,3.8,10.4,90.0,76.0,1.3,2.4,8.8,35.3,13.0,5.6,21.5,1.9,1.0,15.1,35.4,15426,42.7,,42.4,19.0,17.0,13.7,55345
01031,4.2,8.7,92.6,86.8,2.7,1.0,10.4,23.0,14.9,4.0,27.7,0.9,0.8,7.0,31.9,54920,39.0,,30.1,21.2,22.5,16.7,68353
01033,3.9,8.7,90.8,81.9,1.8,0.5,7.9,22.5,13.3,4.6,28.7,0.7,0.4,5.4,35.2,58022,42.9,,31.5,24.2,21.7,17.4,60628
01035,2.6,8.1,83.5,72.7,3.5,2.5,8.0,28.3,31.5,5.8,25.7,1.5,0.3,3.8,47.3,11275,46.7,,46.4,21.5,13.4,27.8,41327
01037,3.9,12.2,88.8,80.7,2.9,0.6,7.6,31.5,27.1,6.0,18.4,0.5,2.3,4.3,59.2,10300,50.1,,40.3,21.1,13.9,13.1,57355
01039,4.5,10.3,89.6,83.8,2.7,1.7,9.4,25.5,21.8,6.2,23.7,1.0,0.2,12.7,37.3,37628,43.3,,35.1,19.9,17.2,19.2,52456
01041,5.2,8.8,84.3,69.2,2.8,2.2,8.1,31.3,20.5,7.3,26.8,1.2,0.4,10.6,33.5,13122,42.2,,41.1,16.5,18.7,17.9,48560
01043,4.1,9.6,92.7,87.3,2.2,0.9,10.9,27.0,11.3,3.2,23.4,2.1,0.5,7.9,31.0,90566,40.8,,31.9,22.6,19.7,15.3,62656
01045,3.8,9.7,93.9,86.0,3.2,1.7,10.1,22.5,14.1,5.7,38.1,1.0,0.5,8.9,31.0,49599,37.7,,30.9,24.4,20.4,18.7,54963
01047,2.5,9.8,87.5,80.5,5.7,19.2,8.2,26.4,15.8,14.1,36.2,0.9,0.7,5.6,56.5,36858,41.2,,41.2,17.4,17.5,31.0,35627
01049,10.7,10.1,91.4,86.9,2.3,1.6,15.5,24.8,15.4,4.2,21.7,2.9,1.5,9.4,35.0,72269,39.5,,33.7,19.7,14.1,22.4,51204
01051,2.8,7.5,96.4,91.7,2.7,1.6,7.7,27.9,12.0,3.4,23.0,1.5,0.1,6.6,38.8,89526,39.5,,33.7,21.0,25.4,10.3,78243
01053,4.2,11.4,88.2,79.0,4.8,1.1,9.2,24.6,23.8,5.7,29.1,0.6,0.2,7.2,36.3,36629,40.6,,41.9,18.7,13.5,20.0,48225
01055,4.3,9.6,92.5,87.5,3.3,2.0,11.4,25.5,17.2,4.4,26.1,1.3,0.7,8.9,39.5,103105,41.7,,34.5,22.9,18.1,16.9,54563
01057,5.4,8.9,87.5,80.9,4.4,1.9,7.7,28.6,19.9,7.6,21.6,0.4,0.7,2.5,30.7,16053,43.3,,39.9,21.9,14.9,21.8,49488
01059,7.8,11.7,86.4,72.0,2.1,0.4,12.7,26.0,14.6,7.7,27.6,2.4,0.4,5.0,30.8,31966,38.0,,38.8,18.5,15.8,19.1,53338
