county_fips,county_name,state_abbr,state_name,places_year,prevalence_type,places_asthma_pct,places_cholesterol_screening_pct,places_copd_pct,places_diabetes_pct,places_heart_disease_pct,places_obesity_pct,places_physical_inactivity_pct,places_poor_mental_health_pct,places_poor_physical_health_pct,places_routine_checkup_pct,places_smoking_pct,places_stroke_pct,places_uninsured_pct,state_fips_places,county_geoid_places,tract_geoid_places,GEO_ID,NAME,geographic_level,poverty_pct,unemployment_pct,median_household_income,public_assistance_pct,uninsured_pct,education_less_than_high_school_pct,education_high_school_pct,education_college_pct,education_bachelors_or_higher_pct,housing_renter_pct,housing_cost_burden_30pct_or_more,housing_crowded_pct,housing_vacancy_pct,housing_no_vehicle_pct,transport_no_vehicle_pct,mean_commute_minutes,digital_no_computer_pct,digital_no_broadband_pct,population_total,median_age_years,female_pct,state_fips_acs,county_geoid_acs,tract_geoid_acs,_merge,state_fips,county_geoid,tract_geoid
01001,Autauga,AL,Alabama,2023.0,Crude prevalence,10.0,86.8,7.4,13.3,6.7,39.8,27.0,17.0,13.7,81.0,14.5,3.7,8.8,01,01001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01001,
01003,Baldwin,AL,Alabama,2023.0,Crude prevalence,9.3,87.9,7.5,13.4,7.5,35.2,25.4,15.1,13.2,80.7,13.0,3.8,8.3,01,01003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01003,
01005,Barbour,AL,Alabama,2023.0,Crude prevalence,10.8,84.2,11.1,19.6,9.5,46.8,36.2,18.5,17.4,81.4,20.2,5.8,14.3,01,01005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01005,
01007,Bibb,AL,Alabama,2023.0,Crude prevalence,10.4,83.6,10.2,16.2,8.5,43.9,33.3,18.9,16.7,79.2,19.7,4.7,12.6,01,01007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01007,
01009,Blount,AL,Alabama,2023.0,Crude prevalence,9.9,85.0,9.1,13.8,8.0,36.1,29.1,17.5,15.4,79.5,16.6,4.1,11.5,01,01009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01009,
01011,Bullock,AL,Alabama,2023.0,Crude prevalence,11.5,82.6,13.0,24.6,10.7,51.3,44.2,20.1,19.7,82.1,24.7,7.3,17.7,01,01011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01011,
01013,Butler,AL,Alabama,2023.0,Crude prevalence,10.9,86.1,10.3,18.9,9.1,40.4,37.1,18.3,16.6,82.8,18.3,5.5,11.3,01,01013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01013,
01015,Calhoun,AL,Alabama,2023.0,Crude prevalence,10.6,84.7,8.9,14.8,7.7,38.6,31.9,18.4,15.3,79.3,16.3,4.2,10.6,01,01015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01015,
01017,Chambers,AL,Alabama,2023.0,Crude prevalence,10.7,85.9,9.9,17.9,8.6,41.5,34.3,18.3,16.2,81.5,17.7,5.2,11.5,01,01017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01017,
01019,Cherokee,AL,Alabama,2023.0,Crude prevalence,10.2,86.4,10.7,16.0,9.6,39.5,31.4,17.4,16.8,80.4,17.5,4.8,10.0,01,01019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01019,
01021,Chilton,AL,Alabama,2023.0,Crude prevalence,10.0,84.8,8.8,14.1,7.6,40.0,31.1,18.2,15.6,79.0,16.9,4.0,11.6,01,01021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01021,
01023,Choctaw,AL,Alabama,2023.0,Crude prevalence,10.9,86.8,11.1,20.1,10.0,44.4,36.4,17.8,17.4,83.3,18.2,6.0,11.0,01,01023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01023,
01025,Clarke,AL,Alabama,2023.0,Crude prevalence,10.8,86.2,9.7,18.4,8.7,43.9,34.4,18.0,16.3,82.4,17.7,5.3,11.0,01,01025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01025,
01027,Clay,AL,Alabama,2023.0,Crude prevalence,10.4,85.6,10.6,16.5,9.3,42.5,32.7,18.0,16.9,80.7,18.2,4.9,11.0,01,01027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,01,01027,
