county_fips,education_less_than_9th_pct,education_9th_to_12th_no_diploma_pct,digital_with_computer_pct,digital_with_broadband_pct,unemployment_pct,public_assistance_pct,uninsured_pct,mean_commute_minutes,housing_vacancy_pct,housing_no_vehicle_pct,housing_renter_pct,housing_crowded_1_01_to_1_50_pct,housing_crowded_1_51_plus_pct,housing_rent_30_to_34_9_pct,housing_rent_35_plus_pct,population_total,median_age_years,education_high_school_pct,education_college_pct,education_bachelors_or_higher_pct,poverty_pct,median_household_income,county_name,state_abbr,state_name,places_year,prevalence_type,places_asthma_pct,places_cholesterol_screening_pct,places_copd_pct,places_diabetes_pct,places_heart_disease_pct,places_obesity_pct,places_physical_inactivity_pct,places_poor_mental_health_pct,places_poor_physical_health_pct,places_routine_checkup_pct,places_smoking_pct,places_stroke_pct,places_uninsured_pct,state_fips,tract_count,population_2020_sum,households_without_vehicle_count_sum,snap_households_count_sum,driving_low_access_population_beyond_1mi_10mi_count_sum,driving_no_vehicle_households_beyond_1mi_count_sum,driving_snap_households_beyond_1mi_count_sum,straight_low_access_population_beyond_1mi_10mi_count_sum,straight_no_vehicle_households_beyond_1mi_count_sum,straight_snap_households_beyond_1mi_count_sum,urban_tract_count,low_income_tract_tract_count,driving_low_income_low_access_tract_count,driving_low_vehicle_access_tract_count,straight_low_income_low_access_tract_count,straight_low_vehicle_access_tract_count
01001,1.5,7.2,96.6,93.2,1.3,1.0,7.3,27.9,8.5,4.1,22.9,1.4,0.3,2.8,31.8,59947.0,39.0,33.7,21.2,29.1,11.3,72481.0,Autauga,AL,Alabama,2023.0,Crude prevalence,10.0,86.8,7.4,13.3,6.7,39.8,27.0,17.0,13.7,81.0,14.5,3.7,8.8,1.0,17.0,58805.0,947.0,2116.0,9950.0,601.0,1402.0,2597.0,435.0,1033.0,9.0,4.0,1.0,2.0,0.0,2.0
01003,2.3,5.9,94.9,90.6,1.8,1.0,8.3,27.0,25.5,2.7,22.4,1.2,0.5,8.5,38.7,246989.0,43.9,27.1,21.3,33.7,10.1,78775.0,Baldwin,AL,Alabama,2023.0,Crude prevalence,9.3,87.9,7.5,13.4,7.5,35.2,25.4,15.1,13.2,80.7,13.0,3.8,8.3,1.0,43.0,231767.0,2644.0,6568.0,55259.0,1433.0,4080.0,31066.0,926.0,2988.0,22.0,8.0,5.0,5.0,4.0,3.0
01005,7.0,14.9,90.2,75.5,3.5,1.9,10.3,27.1,22.4,10.5,31.8,1.3,0.4,9.4,27.3,24643.0,40.8,37.9,19.7,10.6,21.4,46042.0,Barbour,AL,Alabama,2023.0,Crude prevalence,10.8,84.2,11.1,19.6,9.5,46.8,36.2,18.5,17.4,81.4,20.2,5.8,14.3,1.0,9.0,25223.0,958.0,1943.0,2783.0,502.0,1109.0,889.0,390.0,864.0,2.0,7.0,2.0,3.0,0.0,2.0
01007,5.7,12.0,91.9,82.9,6.0,8.5,6.9,31.7,15.6,5.4,20.8,1.0,0.8,13.6,46.4,22130.0,41.2,42.5,20.3,11.7,22.5,52541.0,Bibb,AL,Alabama,2023.0,Crude prevalence,10.4,83.6,10.2,16.2,8.5,43.9,33.3,18.9,16.7,79.2,19.7,4.7,12.6,1.0,8.0,22293.0,418.0,1592.0,567.0,329.0,1111.0,19.0,300.0,964.0,0.0,7.0,0.0,2.0,0.0,1.0
01009,5.6,11.2,93.5,85.0,2.9,2.4,10.3,35.8,11.0,4.0,19.0,1.5,1.0,5.5,36.8,59518.0,41.3,35.9,20.5,15.8,12.9,64190.0,Blount,AL,Alabama,2023.0,Crude prevalence,9.9,85.0,9.1,13.8,8.0,36.1,29.1,17.5,15.4,79.5,16.6,4.1,11.5,1.0,16.0,59134.0,897.0,2731.0,178.0,681.0,2215.0,0.0,546.0,1828.0,0.0,5.0,0.0,3.0,0.0,3.0
01011,10.8,14.4,84.2,68.1,3.0,0.2,11.8,31.8,19.5,10.0,33.4,3.2,0.9,2.9,48.4,10058.0,43.0,42.9,17.6,8.1,33.3,31310.0,Bullock,AL,Alabama,2023.0,Crude prevalence,11.5,82.6,13.0,24.6,10.7,51.3,44.2,20.1,19.7,82.1,24.7,7.3,17.7,1.0,4.0,10357.0,367.0,1255.0,712.0,247.0,893.0,243.0,226.0,823.0,0.0,4.0,1.0,1.0,0.0,1.0
01013,4.7,8.4,91.7,82.7,3.3,1.3,12.3,25.0,23.1,5.9,34.2,0.4,0.3,10.5,35.2,18630.0,42.7,45.7,18.3,13.5,22.4,44755.0,Butler,AL,Alabama,2023.0,Crude prevalence,10.9,86.1,10.3,18.9,9.1,40.4,37.1,18.3,16.6,82.8,18.3,5.5,11.3,1.0,9.0,19051.0,451.0,1312.0,1199.0,257.0,800.0,781.0,221.0,682.0,2.0,7.0,1.0,1.0,1.0,1.0
01015,4.1,9.5,94.3,87.3,3.3,2.0,10.2,25.2,15.6,6.4,29.7,1.1,0.4,8.0,36.9,116090.0,39.3,34.5,22.5,20.6,17.9,55029.0,Calhoun,AL,Alabama,2023.0,Crude prevalence,10.6,84.7,8.9,14.8,7.7,38.6,31.9,18.4,15.3,79.3,16.3,4.2,10.6,1.0,38.0,116441.0,2875.0,8057.0,24288.0,941.0,3301.0,9035.0,446.0,1687.0,22.0,18.0,10.0,5.0,2.0,1.0
01017,5.6,10.7,91.5,82.1,2.8,1.4,11.0,23.1,18.3,7.3,28.2,1.2,2.5,11.3,35.6,34192.0,41.3,38.1,21.5,14.9,15.7,49656.0,Chambers,AL,Alabama,2023.0,Crude prevalence,10.7,85.9,9.9,17.9,8.6,41.5,34.3,18.3,16.2,81.5,17.7,5.2,11.5,1.0,9.0,34772.0,983.0,2184.0,4042.0,505.0,1085.0,2247.0,407.0,883.0,3.0,6.0,3.0,1.0,1.0,1.0
01019,5.7,11.9,90.9,82.6,1.9,2.6,7.2,30.5,30.7,2.8,18.9,0.7,0.6,2.7,37.3,25443.0,47.5,35.3,19.5,16.5,14.8,53863.0,Cherokee,AL,Alabama,2023.0,Crude prevalence,10.2,86.4,10.7,16.0,9.6,39.5,31.4,17.4,16.8,80.4,17.5,4.8,10.0,1.0,8.0,24971.0,283.0,1121.0,334.0,230.0,933.0,0.0,181.0,774.0,0.0,4.0,0.0,0.0,0.0,0.0
