feature,importance_mean,importance_std,importance_pct,factor_type,importance_rank
clinical_immunization_count,0.12404692082111439,0.020244142840552155,90.74471345387678,Clinical,1
clinical_unique_observation_count,0.010012568077084205,0.0038961038961038913,7.324547961998158,Clinical,2
clinical_observation_count,0.0025555090071219255,0.0015040907474668074,1.8694452957401269,Clinical,3
clinical_ambulatory_count,8.37871805613788e-05,0.0002513615416841364,0.06129328838492527,Clinical,4
age,0.0,0.0,0.0,Other,5
education_less_than_9th_pct,0.0,0.0,0.0,SDOH,6
education_9th_to_12th_no_diploma_pct,0.0,0.0,0.0,SDOH,7
digital_with_computer_pct,0.0,0.0,0.0,SDOH,8
housing_rent_35_plus_pct,0.0,0.0,0.0,SDOH,9
tract_count,0.0,0.0,0.0,Other,10
population_2020_sum,0.0,0.0,0.0,Other,11
households_without_vehicle_count_sum,0.0,0.0,0.0,SDOH,12
digital_with_broadband_pct,0.0,0.0,0.0,SDOH,13
housing_crowded_1_01_to_1_50_pct,0.0,0.0,0.0,SDOH,14
housing_crowded_1_51_plus_pct,0.0,0.0,0.0,SDOH,15
housing_rent_30_to_34_9_pct,0.0,0.0,0.0,SDOH,16
straight_low_access_population_beyond_1mi_10mi_count_sum,0.0,0.0,0.0,SDOH,17
straight_no_vehicle_households_beyond_1mi_count_sum,0.0,0.0,0.0,SDOH,18
straight_snap_households_beyond_1mi_count_sum,0.0,0.0,0.0,SDOH,19
urban_tract_count,0.0,0.0,0.0,Other,20
low_income_tract_tract_count,0.0,0.0,0.0,SDOH,21
driving_low_income_low_access_tract_count,0.0,0.0,0.0,SDOH,22
driving_low_vehicle_access_tract_count,0.0,0.0,0.0,SDOH,23
straight_low_income_low_access_tract_count,0.0,0.0,0.0,SDOH,24
straight_low_vehicle_access_tract_count,0.0,0.0,0.0,SDOH,25
places_asthma_pct,0.0,0.0,0.0,Other,26
places_cholesterol_screening_pct,0.0,0.0,0.0,SDOH,27
places_copd_pct,0.0,0.0,0.0,Other,28
snap_households_count_sum,0.0,0.0,0.0,SDOH,29
driving_low_access_population_beyond_1mi_10mi_count_sum,0.0,0.0,0.0,SDOH,30
driving_no_vehicle_households_beyond_1mi_count_sum,0.0,0.0,0.0,SDOH,31
driving_snap_households_beyond_1mi_count_sum,0.0,0.0,0.0,SDOH,32
places_physical_inactivity_pct,0.0,0.0,0.0,Other,33
places_obesity_pct,0.0,0.0,0.0,Other,34
places_heart_disease_pct,0.0,0.0,0.0,Other,35
places_diabetes_pct,0.0,0.0,0.0,Other,36
places_stroke_pct,0.0,0.0,0.0,Other,37
places_poor_mental_health_pct,0.0,0.0,0.0,Other,38
places_routine_checkup_pct,0.0,0.0,0.0,SDOH,39
places_poor_physical_health_pct,0.0,0.0,0.0,Other,40
clinical_history_days,0.0,0.0,0.0,Clinical,41
clinical_encounter_count,0.0,0.0,0.0,Clinical,42
clinical_emergency_count,0.0,0.0,0.0,Clinical,43
clinical_outpatient_count,0.0,0.0,0.0,Clinical,44
clinical_urgentcare_count,0.0,0.0,0.0,Clinical,45
places_uninsured_pct,0.0,0.0,0.0,SDOH,46
state_fips,0.0,0.0,0.0,Other,47
places_smoking_pct,0.0,0.0,0.0,Other,48
clinical_snf_count,0.0,0.0,0.0,Clinical,49
clinical_home_count,0.0,0.0,0.0,Clinical,50
clinical_wellness_count,0.0,0.0,0.0,Clinical,51
clinical_hospice_count,0.0,0.0,0.0,Clinical,52
clinical_unique_condition_description_count,0.0,0.0,0.0,Clinical,53
clinical_unique_condition_count,0.0,0.0,0.0,Clinical,54
clinical_medication_count,0.0,0.0,0.0,Clinical,55
clinical_condition_count,0.0,0.0,0.0,Clinical,56
clinical_unique_medication_count,0.0,0.0,0.0,Clinical,57
clinical_procedure_count,0.0,0.0,0.0,Clinical,58
clinical_allergy_count,0.0,0.0,0.0,Clinical,59
clinical_unique_procedure_count,0.0,0.0,0.0,Clinical,60
clinical_unique_allergy_count,0.0,0.0,0.0,Clinical,61
clinical_unique_immunization_count,0.0,0.0,0.0,Clinical,62
clinical_careplan_count,0.0,0.0,0.0,Clinical,63
clinical_unique_careplan_count,0.0,0.0,0.0,Clinical,64
