member_id,STATE_NORM,COUNTY_NORM,ZIP_NORM,county_fips,county_status,sdoh_feature_cells_missing,sdoh_features_missing_count,county_features_available
a1733070-046a-4506-bba6-47f32652e9d7,MASSACHUSETTS,SUFFOLK,,25025,resolved,29,29,True
f9ba83f7-9940-16ae-0854-24bd34bf1843,MASSACHUSETTS,BARNSTABLE,,25001,resolved,29,29,True
fc2d1fb9-862d-a60c-581a-519f5470d866,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
5a1b2463-6dbf-ff69-4ab9-fbc24841b9fd,MASSACHUSETTS,SUFFOLK,,25025,resolved,30,30,True
50834d5b-3074-9f8b-833e-e32a1004126d,MASSACHUSETTS,NORFOLK,,25021,resolved,29,29,True
d79ef414-f638-4bb9-305f-de6093018e34,MASSACHUSETTS,SUFFOLK,,25025,resolved,30,30,True
531968a3-50fe-09ba-d7cc-ca438ebf9d69,MASSACHUSETTS,PLYMOUTH,,,unresolved,76,76,False
44200e4c-f1b5-deee-17f0-226f21ff1c89,MASSACHUSETTS,SUFFOLK,,25017,resolved,30,30,True
d20a36fc-23ba-8462-bf39-864000fbf25f,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
80c747ab-dc05-2bca-dafa-e2aa58619442,MASSACHUSETTS,MIDDLESEX,,,unresolved,76,76,False
a00b5c95-fed5-f472-749b-6b3140ead250,MASSACHUSETTS,ESSEX,,,unresolved,77,77,False
8492edd4-143b-a863-63b3-30de357a6f94,MASSACHUSETTS,SUFFOLK,,25025,resolved,30,30,True
a85e45e4-9090-0a5e-d395-0cc3adc7e2dd,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
8dc1eb80-5a2e-3f58-a3ac-4eba98ab5f41,MASSACHUSETTS,MIDDLESEX,,25017,resolved,31,31,True
7ad140ab-bfae-c3ae-20a3-2244b1c4d0e2,MASSACHUSETTS,SUFFOLK,,25025,resolved,29,29,True
2cf6b168-ba3b-b2a3-9a95-7217a1de6911,MASSACHUSETTS,ESSEX,,25009,resolved,29,29,True
ba6ea998-e7a3-d122-0e14-eace53094044,MASSACHUSETTS,BERKSHIRE,,25003,resolved,29,29,True
a8286256-4ef3-c614-4371-085d7c8cfcb2,MASSACHUSETTS,HAMPDEN,,25013,resolved,29,29,True
f691e124-1107-034e-0ebf-57a58745c7de,MASSACHUSETTS,SUFFOLK,,25025,resolved,30,30,True
688c8453-ba6f-7dec-03c3-eaa27d6df1a4,MASSACHUSETTS,NORFOLK,,25021,resolved,29,29,True
8a2af5b4-6f29-27d4-b5fd-bb687fa2169b,MASSACHUSETTS,HAMPSHIRE,,25015,resolved,29,29,True
a172af40-3eeb-e33a-f4eb-bcf071ed5299,MASSACHUSETTS,WORCESTER,,,unresolved,76,76,False
93904045-6509-c7c6-9b28-aff82a8e7181,MASSACHUSETTS,NORFOLK,,25021,resolved,29,29,True
139cd667-593c-c80f-ece7-7561016c43db,MASSACHUSETTS,NORFOLK,,25021,resolved,30,30,True
345e08f8-968e-912d-5127-3bdea2ba7b9f,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
d356a6f2-9dd4-c69f-8792-5c0061b52755,MASSACHUSETTS,SUFFOLK,,25025,resolved,29,29,True
8d7f6a31-31ba-da9c-2b57-03ee0f7577a0,MASSACHUSETTS,SUFFOLK,,25025,resolved,29,29,True
f8bbf1e4-7bb5-dc68-a7a8-b509ff9a7832,MASSACHUSETTS,BRISTOL,,25005,resolved,29,29,True
