model,fold,roc_auc,pr_auc,precision,recall,f1,brier
logistic_regression,1,0.9375,0.7345238095238095,0.6,1.0,0.75,0.13045833476836302
logistic_regression,2,0.8541666666666667,0.736111111111111,0.5,0.6666666666666666,0.5714285714285714,0.16448645108933038
logistic_regression,3,0.9142857142857144,0.8928571428571428,1.0,0.5714285714285714,0.7272727272727273,0.1000276546924017
logistic_regression,4,0.9111111111111112,0.8069444444444444,0.625,0.8333333333333334,0.7142857142857143,0.1128440985164103
logistic_regression,5,0.8777777777777778,0.675,0.625,0.8333333333333334,0.7142857142857143,0.14690676123767016
random_forest,1,1.0,1.0,1.0,0.6666666666666666,0.8,0.057736204632431655
random_forest,2,0.84375,0.7200396825396824,0.6,0.5,0.5454545454545454,0.1367000594162913
random_forest,3,0.9142857142857144,0.8833333333333333,1.0,0.5714285714285714,0.7272727272727273,0.0956272146883904
random_forest,4,0.9111111111111112,0.8617424242424241,1.0,0.6666666666666666,0.8,0.11775620965398957
random_forest,5,0.9777777777777779,0.9583333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.07834764568198117
lightgbm,1,1.0,1.0,1.0,1.0,1.0,0.004699736267262011
lightgbm,2,0.8541666666666667,0.7294973544973544,0.6,0.5,0.5454545454545454,0.23295783130048822
lightgbm,3,0.980952380952381,0.9682539682539681,1.0,0.7142857142857143,0.8333333333333334,0.08836695750062615
lightgbm,4,0.9444444444444444,0.8773809523809524,0.8,0.6666666666666666,0.7272727272727273,0.1229887635178818
lightgbm,5,1.0,1.0,0.75,1.0,0.8571428571428571,0.07954006645299573
