feature,numeric
education_less_than_9th_pct,True
education_9th_to_12th_no_diploma_pct,True
digital_with_computer_pct,True
digital_with_broadband_pct,True
unemployment_pct,True
public_assistance_pct,True
uninsured_pct,True
mean_commute_minutes,True
housing_vacancy_pct,True
housing_no_vehicle_pct,True
housing_renter_pct,True
housing_crowded_1_01_to_1_50_pct,True
housing_crowded_1_51_plus_pct,True
housing_rent_30_to_34_9_pct,True
housing_rent_35_plus_pct,True
population_total,True
median_age_years,True
education_high_school_pct,True
education_college_pct,True
education_bachelors_or_higher_pct,True
poverty_pct,True
median_household_income,True
places_asthma_pct,True
places_cholesterol_screening_pct,True
places_copd_pct,True
places_diabetes_pct,True
places_heart_disease_pct,True
places_obesity_pct,True
places_physical_inactivity_pct,True
places_poor_mental_health_pct,True
places_poor_physical_health_pct,True
places_routine_checkup_pct,True
places_smoking_pct,True
places_stroke_pct,True
places_uninsured_pct,True
state_fips,True
tract_count,True
population_2020_sum,True
households_without_vehicle_count_sum,True
snap_households_count_sum,True
driving_low_access_population_beyond_1mi_10mi_count_sum,True
driving_no_vehicle_households_beyond_1mi_count_sum,True
driving_snap_households_beyond_1mi_count_sum,True
straight_low_access_population_beyond_1mi_10mi_count_sum,True
straight_no_vehicle_households_beyond_1mi_count_sum,True
straight_snap_households_beyond_1mi_count_sum,True
urban_tract_count,True
low_income_tract_tract_count,True
driving_low_income_low_access_tract_count,True
driving_low_vehicle_access_tract_count,True
straight_low_income_low_access_tract_count,True
straight_low_vehicle_access_tract_count,True
