,missing_count,total_rows,missing_pct
education_less_than_9th_pct,21,108,19.444444444444446
education_9th_to_12th_no_diploma_pct,21,108,19.444444444444446
digital_with_computer_pct,21,108,19.444444444444446
digital_with_broadband_pct,21,108,19.444444444444446
unemployment_pct,21,108,19.444444444444446
public_assistance_pct,21,108,19.444444444444446
uninsured_pct,21,108,19.444444444444446
mean_commute_minutes,21,108,19.444444444444446
housing_vacancy_pct,21,108,19.444444444444446
housing_no_vehicle_pct,21,108,19.444444444444446
housing_renter_pct,21,108,19.444444444444446
housing_crowded_1_01_to_1_50_pct,21,108,19.444444444444446
housing_crowded_1_51_plus_pct,21,108,19.444444444444446
housing_rent_30_to_34_9_pct,21,108,19.444444444444446
housing_rent_35_plus_pct,21,108,19.444444444444446
population_total,21,108,19.444444444444446
median_age_years,21,108,19.444444444444446
education_high_school_pct,21,108,19.444444444444446
education_college_pct,21,108,19.444444444444446
education_bachelors_or_higher_pct,21,108,19.444444444444446
poverty_pct,21,108,19.444444444444446
median_household_income,21,108,19.444444444444446
places_asthma_pct,21,108,19.444444444444446
places_cholesterol_screening_pct,21,108,19.444444444444446
places_copd_pct,21,108,19.444444444444446
places_diabetes_pct,21,108,19.444444444444446
places_heart_disease_pct,21,108,19.444444444444446
places_obesity_pct,21,108,19.444444444444446
places_physical_inactivity_pct,21,108,19.444444444444446
places_poor_mental_health_pct,21,108,19.444444444444446
places_poor_physical_health_pct,21,108,19.444444444444446
places_routine_checkup_pct,21,108,19.444444444444446
places_smoking_pct,21,108,19.444444444444446
places_stroke_pct,21,108,19.444444444444446
places_uninsured_pct,21,108,19.444444444444446
state_fips,21,108,19.444444444444446
tract_count,21,108,19.444444444444446
population_2020_sum,21,108,19.444444444444446
households_without_vehicle_count_sum,21,108,19.444444444444446
snap_households_count_sum,21,108,19.444444444444446
driving_low_access_population_beyond_1mi_10mi_count_sum,21,108,19.444444444444446
driving_no_vehicle_households_beyond_1mi_count_sum,21,108,19.444444444444446
driving_snap_households_beyond_1mi_count_sum,21,108,19.444444444444446
straight_low_access_population_beyond_1mi_10mi_count_sum,21,108,19.444444444444446
straight_no_vehicle_households_beyond_1mi_count_sum,21,108,19.444444444444446
straight_snap_households_beyond_1mi_count_sum,21,108,19.444444444444446
urban_tract_count,21,108,19.444444444444446
low_income_tract_tract_count,21,108,19.444444444444446
driving_low_income_low_access_tract_count,21,108,19.444444444444446
driving_low_vehicle_access_tract_count,21,108,19.444444444444446
straight_low_income_low_access_tract_count,21,108,19.444444444444446
straight_low_vehicle_access_tract_count,21,108,19.444444444444446
