feature,domain,source,included_in_model,exclusion_reason
education_less_than_9th_pct,education,ACS,True,
education_9th_to_12th_no_diploma_pct,education,ACS,True,
education_high_school_pct,education,ACS,True,
education_college_pct,education,ACS,True,
education_bachelors_or_higher_pct,education,ACS,True,
unemployment_pct,economic_stability,ACS,True,
public_assistance_pct,economic_stability,ACS,True,
poverty_pct,economic_stability,ACS,True,
median_household_income,economic_stability,ACS,True,
snap_households_count_sum,economic_stability,SRAM,True,
uninsured_pct,healthcare_access,ACS,True,
places_uninsured_pct,healthcare_access,PLACES,True,
places_routine_checkup_pct,healthcare_access,PLACES,True,
places_cholesterol_screening_pct,healthcare_access,PLACES,True,
digital_with_computer_pct,digital_access,ACS,True,
digital_with_broadband_pct,digital_access,ACS,True,
housing_vacancy_pct,neighborhood_built_environment,ACS,True,
housing_no_vehicle_pct,neighborhood_built_environment,ACS,True,
housing_renter_pct,neighborhood_built_environment,ACS,True,
housing_crowded_1_01_to_1_50_pct,neighborhood_built_environment,ACS,True,
housing_crowded_1_51_plus_pct,neighborhood_built_environment,ACS,True,
housing_rent_30_to_34_9_pct,neighborhood_built_environment,ACS,True,
housing_rent_35_plus_pct,neighborhood_built_environment,ACS,True,
mean_commute_minutes,transportation_access,ACS,True,
households_without_vehicle_count_sum,transportation_access,SRAM,True,
driving_low_access_population_beyond_1mi_10mi_count_sum,transportation_access,SRAM,True,
driving_no_vehicle_households_beyond_1mi_count_sum,transportation_access,SRAM,True,
driving_snap_households_beyond_1mi_count_sum,transportation_access,SRAM,True,
driving_low_income_low_access_tract_count,transportation_access,SRAM,True,
driving_low_vehicle_access_tract_count,transportation_access,SRAM,True,
straight_no_vehicle_households_beyond_1mi_count_sum,transportation_access,SRAM,True,
straight_snap_households_beyond_1mi_count_sum,transportation_access,SRAM,True,
straight_low_income_low_access_tract_count,transportation_access,SRAM,True,
straight_low_vehicle_access_tract_count,transportation_access,SRAM,True,
places_asthma_pct,health_behavioral_context,PLACES,True,
places_copd_pct,health_behavioral_context,PLACES,True,
places_diabetes_pct,health_behavioral_context,PLACES,True,
places_heart_disease_pct,health_behavioral_context,PLACES,True,
places_obesity_pct,health_behavioral_context,PLACES,True,
places_physical_inactivity_pct,health_behavioral_context,PLACES,True,
places_poor_mental_health_pct,health_behavioral_context,PLACES,True,
places_poor_physical_health_pct,health_behavioral_context,PLACES,True,
places_smoking_pct,health_behavioral_context,PLACES,True,
places_stroke_pct,health_behavioral_context,PLACES,True,
population_total,demographic_context,ACS,True,
median_age_years,demographic_context,ACS,True,
fips,,ACS,False,"Identifier, geography, metadata, or redundant structural feature"
lat,,ACS,False,"Identifier, geography, metadata, or redundant structural feature"
lon,,ACS,False,"Identifier, geography, metadata, or redundant structural feature"
places_year,,PLACES,False,"Identifier, geography, metadata, or redundant structural feature"
population_2020_sum,,ACS,False,"Identifier, geography, metadata, or redundant structural feature"
state_fips,,ACS,False,"Identifier, geography, metadata, or redundant structural feature"
straight_low_access_population_beyond_1mi_10mi_count_sum,,SRAM,False,"Identifier, geography, metadata, or redundant structural feature"
tract_count,,ACS,False,"Identifier, geography, metadata, or redundant structural feature"
urban_tract_count,,SRAM,False,"Identifier, geography, metadata, or redundant structural feature"
zip,,ACS,False,"Identifier, geography, metadata, or redundant structural feature"
age,demographic_context,Synthea,False,Demographic covariate retained separately from SDOH features
