county_fips,state_fips,tract_count,population_2020_sum,households_without_vehicle_count_sum,snap_households_count_sum,driving_low_access_population_beyond_1mi_10mi_count_sum,driving_no_vehicle_households_beyond_1mi_count_sum,driving_snap_households_beyond_1mi_count_sum,straight_low_access_population_beyond_1mi_10mi_count_sum,straight_no_vehicle_households_beyond_1mi_count_sum,straight_snap_households_beyond_1mi_count_sum,urban_tract_count,low_income_tract_tract_count,driving_low_income_low_access_tract_count,driving_low_vehicle_access_tract_count,straight_low_income_low_access_tract_count,straight_low_vehicle_access_tract_count
01001,01,17,58805,947.0,2116.0,9950,601.0,1402.0,2597,435.0,1033.0,9,4,1.0,2.0,0.0,2.0
01003,01,43,231767,2644.0,6568.0,55259,1433.0,4080.0,31066,926.0,2988.0,22,8,5.0,5.0,4.0,3.0
01005,01,9,25223,958.0,1943.0,2783,502.0,1109.0,889,390.0,864.0,2,7,2.0,3.0,0.0,2.0
01007,01,8,22293,418.0,1592.0,567,329.0,1111.0,19,300.0,964.0,0,7,0.0,2.0,0.0,1.0
01009,01,16,59134,897.0,2731.0,178,681.0,2215.0,0,546.0,1828.0,0,5,0.0,3.0,0.0,3.0
01011,01,4,10357,367.0,1255.0,712,247.0,893.0,243,226.0,823.0,0,4,1.0,1.0,0.0,1.0
01013,01,9,19051,451.0,1312.0,1199,257.0,800.0,781,221.0,682.0,2,7,1.0,1.0,1.0,1.0
01015,01,38,116441,2875.0,8057.0,24288,941.0,3301.0,9035,446.0,1687.0,22,18,10.0,5.0,2.0,1.0
01017,01,9,34772,983.0,2184.0,4042,505.0,1085.0,2247,407.0,883.0,3,6,3.0,1.0,1.0,1.0
01019,01,8,24971,283.0,1121.0,334,230.0,933.0,0,181.0,774.0,0,4,0.0,0.0,0.0,0.0
01021,01,12,45014,471.0,2613.0,6666,363.0,1944.0,2897,266.0,1425.0,3,4,1.0,0.0,0.0,0.0
01023,01,4,12665,460.0,823.0,1136,401.0,721.0,51,360.0,646.0,0,2,1.0,2.0,0.0,2.0
01025,01,9,23087,979.0,1983.0,1523,712.0,1423.0,239,612.0,1199.0,0,6,0.0,3.0,0.0,2.0
01027,01,4,14236,339.0,828.0,394,273.0,688.0,0,232.0,608.0,0,2,0.0,2.0,0.0,1.0
01029,01,4,15056,337.0,867.0,84,228.0,694.0,0,188.0,594.0,0,1,0.0,2.0,0.0,1.0
01031,01,16,53465,843.0,2417.0,8139,407.0,1205.0,4462,318.0,969.0,6,8,1.0,0.0,0.0,0.0
01033,01,15,57227,1111.0,3515.0,4516,383.0,1378.0,1017,271.0,1003.0,8,6,1.0,1.0,0.0,0.0
01035,01,5,11597,254.0,882.0,1435,187.0,683.0,672,147.0,570.0,0,4,1.0,1.0,0.0,1.0
01037,01,3,10387,266.0,716.0,657,222.0,639.0,61,191.0,562.0,0,1,0.0,1.0,0.0,1.0
01039,01,14,37570,915.0,2082.0,1282,508.0,1257.0,607,378.0,941.0,2,8,1.0,2.0,0.0,1.0
01041,01,6,13194,383.0,1087.0,608,315.0,908.0,164,292.0,844.0,0,4,0.0,0.0,0.0,0.0
01043,01,22,87866,1123.0,3531.0,3981,718.0,2311.0,831,539.0,1861.0,4,6,2.0,0.0,0.0,0.0
01045,01,14,49326,1134.0,3637.0,3758,638.0,2004.0,1689,480.0,1438.0,3,6,1.0,2.0,1.0,1.0
01047,01,17,38462,2256.0,5765.0,4303,823.0,2399.0,1793,657.0,1923.0,9,16,2.0,7.0,1.0,4.0
01049,01,21,71608,1091.0,4627.0,229,879.0,3711.0,0,737.0,3129.0,0,15,0.0,2.0,0.0,2.0
01051,01,20,87977,1113.0,3465.0,7536,744.0,2295.0,1857,557.0,1678.0,5,3,1.0,3.0,1.0,3.0
01053,01,10,36757,734.0,1942.0,2046,471.0,1247.0,886,362.0,960.0,2,7,1.0,2.0,1.0,1.0
01055,01,33,103436,1731.0,6173.0,15156,619.0,2340.0,8195,430.0,1621.0,19,16,3.0,1.0,1.0,1.0
01057,01,5,16321,474.0,1124.0,366,348.0,829.0,0,309.0,736.0,0,3,0.0,2.0,0.0,2.0
01059,01,11,32113,926.0,2386.0,4548,650.0,1521.0,2778,559.0,1260.0,2,7,1.0,3.0,1.0,3.0
01061,01,6,26659,637.0,1945.0,68,462.0,1426.0,0,425.0,1312.0,0,4,0.0,3.0,0.0,3.0
01063,01,4,7730,430.0,1029.0,633,312.0,797.0,57,278.0,725.0,0,4,1.0,2.0,0.0,2.0
01065,01,7,14785,631.0,1568.0,1091,478.0,1107.0,290,430.0,970.0,0,4,0.0,2.0,0.0,2.0
01067,01,6,17146,530.0,997.0,416,318.0,763.0,49,265.0,703.0,0,3,0.0,1.0,0.0,1.0
01069,01,26,107202,2936.0,6964.0,13266,859.0,2288.0,3340,509.0,1502.0,15,11,1.0,7.0,1.0,2.0
01071,01,16,52579,1076.0,2690.0,3804,763.0,1901.0,1267,598.0,1522.0,2,12,2.0,2.0,1.0,1.0
01073,01,189,674721,18843.0,38255.0,185974,4152.0,9122.0,75625,1570.0,3878.0,159,98,33.0,32.0,12.0,23.0
01075,01,4,13972,311.0,1044.0,134,244.0,829.0,0,218.0,741.0,0,3,0.0,1.0,0.0,0.0
01077,01,26,93564,1991.0,3925.0,7365,499.0,1260.0,1164,363.0,934.0,13,9,1.0,1.0,0.0,0.0
01079,01,11,33073,594.0,2059.0,189,454.0,1629.0,0,393.0,1432.0,0,2,0.0,2.0,0.0,1.0
01081,01,48,174241,3305.0,6949.0,48766,1347.0,3669.0,19873,687.0,2298.0,33,25,10.0,4.0,1.0,2.0
01083,01,23,103570,1417.0,3620.0,14838,792.0,2184.0,9248,552.0,1487.0,7,9,1.0,4.0,0.0,2.0
01085,01,4,10311,378.0,1237.0,532,325.0,1078.0,131,289.0,981.0,0,3,0.0,1.0,0.0,1.0
01087,01,12,19532,690.0,1745.0,7772,583.0,1489.0,5398,497.0,1266.0,6,11,5.0,1.0,4.0,1.0
01089,01,95,388153,6528.0,12536.0,120950,2111.0,3981.0,47494,1083.0,2066.0,74,32,8.0,11.0,2.0,3.0
